id,source,country,rating,date,codes,text
14441894217,apple,us,1,2026-08-18,PRICE_SURPRISE|SIGNUP_BREAK,"Deception and robbery — The app has sneaky upsell features, leading you to try to buy medication. It promises to easily deliver GLP-1s. Then it actually connects you to a different app after you pay, where you can get stuck in a loop where you don’t get a refund even though you paid because another 3rd party determines you didn’t qualify for the medication."
14439617689,apple,us,5,2026-08-17,EMOTIONAL_FIT_POS,"Best Sobriety Invention Ever! — I wish I would have known of this app much sooner. Whether you are trying to go alcohol free or cutback, this is the community and place to be. The neuroscience behind it takes it to the next level. Come one, come all, come as you are this is a judgement free zone!!"
14436185820,apple,us,4,2026-08-16,,Only issue is billing — Got charged for subscription even though I had cancelled after the free trial.
14435434317,apple,us,5,2026-08-16,,Life Changer — This app has been a life changer for me. It is there with me everyday as another tool that keeps me on the path. It has answered the many questions about how alcohol has changed my brain and my body making the “symptoms” make sense. Thank you and I recommend Reframe for anyone who wants to change your life and your relationship with alcohol.
14434216287,apple,us,5,2026-08-16,,Logical — Reframe has taken the guesswork out of drinking and presented everything in a logical manner making it easy to understand what alcohol is doing to your mind body & relationships. I’m 30 days AF & loving it.
14431049345,apple,us,5,2026-08-15,,"Newly sober — I’m only 7 days into my journey. I started using reframe and so far I’m really enjoying it. Definitely helps with the science behind it, accountability and motivation. Thanks Reframe!"
14424611344,apple,us,1,2026-08-13,PRICE_SURPRISE|TONE|TRUST,Scammers — I had no idea if I didn’t cancel my free trial subscription in time I would be charged for a WHOLE YEAR. I am currently trying to figure out how to dispute the charge but they only have contacts listed as email and Instagram. I will be emailing them and also calling my bank during business hours tomorrow. I was really liking the app as well however this seems like a great way to take advantage of people struggling with addiction who are simply trying to seek help. Whoever set this system up should be ashamed.
14423991292,apple,us,5,2026-08-13,,"Lifesaver — Well, worth the money one year subscription cost me what I would drink in one weekend"
14423534182,apple,us,5,2026-08-13,,So Helpful — This app helped me so much more than I expected!
14422445509,apple,us,5,2026-08-13,,"Amazingly effective — The community, the lessons, the tools, this app is very helpful for people like myself who want a way to go Alcohol free and want to do it through evidence based work."
14420717230,apple,us,5,2026-08-12,EMOTIONAL_FIT_POS,"Great resources and accountability — I almost never give reviews but signed up for the trial with intention to cancel but liked it so much. Three minutes reading and inspiration quote. Having to log drinks keeps me accountable  because I want to keep my streak. The community forum is helpful to hear others successes and struggles. Feels very real life for someone like me who is triggers are circumstantial - end of day, travel, etc. - and not quite AA appropriate."
14419048119,apple,us,1,2026-08-12,,Payment required — Was a good app to keep track of days sober. Unfortunately they got greedy.
14414467495,apple,us,5,2026-08-11,EMOTIONAL_FIT_POS,"Grateful — Practical, smart, shame-free. I’m loving this approach and benefitting from all of it."
14413266145,apple,us,2,2026-08-10,PRICE_SURPRISE,"Lowkey a scam — I can see this being helpful for some people, especially if the groups are good. If you DO want to try it, cancel your trial before the payment for the year initiates & it will let you reduce the cost by 50%.   That along with the heavy push for meds & GLP-1’s just seemed a bit sus to me. There are plenty of good free tracking apps out there."
14411292570,apple,us,5,2026-08-10,,"Topics — The topics that are covered in both writing and coach videos have spoken to me directly, and definitely made me feel I was not alone. The educational component of what alcohol does to your body is clear and much appreciated. Reframe is outstanding!"
14410280138,apple,us,5,2026-08-10,,Impressive — I’m very happy with this program and strongly recommend it
